manufacturer,device,Network_Technology,Network_2G bands,Network_GPRS,Network_EDGE,Body_,Display_Resolution,Main Camera_Video,Selfie camera_Single,Selfie camera_Video,Sound_Loudspeaker ,Sound_3.5mm jack ,Comms_WLAN,Comms_Bluetooth,Comms_Positioning,Comms_NFC,Comms_Radio,Comms_USB,Features_Sensors,Battery_Talk time,Misc_Colors,Misc_Price,Network_3G bands,Network_4G bands,Network_,Network_Speed,Platform_GPU,Main Camera_Features,Memory_,Misc_Models,Body_Build,Main Camera_Triple,Selfie camera_Features,Launch_year,IsAvailable,Battery_Capacity,Battery_Removability,Body_length_mm,Body_width_mm,Body_depth_mm,Body_Weight_g,num_slots_sim,has_mini_sim,has_nano_sim,has_micro_sim,has_e_sim,stand-by_sim,hybrid_sim,display_tech,display_refresh,display_diagonal_inches,display_area_cm2,display_screen_body_ratio,display_width_px,display_height_px,display_density,platform_os,platform_os_ver,platform_chipset_manufacturer,platform_chipset_details,platform_chipset_node,platform_cpu_count,platform_cpu_speed_ghz,memory_card_slot,memory_internal_storage,memory_ram,main_camera_single_mp
verykool,verykool_s6005x_cyprus_pro,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,,"720 x 1280 pixels, 16:9 ratio (~245 ppi density)",1080p@30fps,"8 MP, f/2.8",,Yes,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct","4.0, A2DP, LE",GPS,No,Stereo FM radio,microUSB 2.0,"Accelerometer, proximity",Up to 8 h (3G),"Gray, Gold",,HSDPA 850 / 1700(AWS) / 1900 ,,,HSPA 21.1/5.76 Mbps,Mali-400MP2,"LED flash, panorama",,,,,,2017,1,3000,2,166.0,85.3,-1,165,2,0,1,1,0,1,0,ips lcd,60,6.0,99.,70.1,720,1280,245,android,7.0,mediatek,,,4,1.3,microsdxc,16.0,1.0,13
verykool,verykool_s5205_orion_pro,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,,"480 x 854 pixels, 16:9 ratio (~188 ppi density)",1080p@30fps,8 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct","4.0, A2DP, LE",GPS,No,Stereo FM radio,microUSB 2.0,"Fingerprint (rear-mounted), accelerometer",Up to 5 h (3G),"Black, Gold, Blue",,HSDPA 850 / 900 / 1900 / 2100 ,,,HSPA 21.1/5.76 Mbps,Mali-400MP2,"LED flash, panorama",,,,,LED flash,2017,1,2000,2,148.6,74.3,-1,164,2,0,1,0,0,1,0,ips lcd,60,5.2,74.5,67.5,480,854,188,android,7.0,mediatek,,,4,1.3,microsdxc,16.0,1.0,8
verykool,verykool_sl4502_fusion_ii,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,,"480 x 854 pixels, 16:9 ratio (~218 ppi density)",720p@30fps,5 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.0, A2DP, LE",GPS,No,Stereo FM radio,microUSB 2.0,"Accelerometer, proximity",Up to 7 h (3G),"Black, White",,HSDPA 850 / 1700(AWS) / 1900 ,"2, 4, 5, 7",,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",Mali-T720MP2,"LED flash, panorama",,,,,,2015,1,1800,1,139.9,65.2,-1,107,2,0,0,1,0,1,0,ips lcd,60,4.5,55.8,61.2,480,854,218,android,5.1,mediatek,,,4,1.0,microsdxc,8.0,1.0,8
verykool,verykool_s5525_maverick_iii,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,,"720 x 1280 pixels, 16:9 ratio (~267 ppi density)",1080p@30fps,"8 MP, f/2.8",,Yes,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct","4.0, A2DP, LE",GPS,No,Stereo FM radio,microUSB 2.0,"Accelerometer, proximity",Up to 8 h (3G),Black,,HSDPA 850 / 1700(AWS) / 1900 / 2100 ,,,HSPA 21.1/5.76 Mbps,Mali-400MP2,"LED flash, panorama",,,,,,2016,1,2800,1,153.0,77.0,-1,148,2,1,0,1,0,1,0,ips lcd,60,5.5,83.4,70.8,720,1280,267,android,6.0,mediatek,,,4,1.3,microsdxc,8.0,1.0,13
verykool,verykool_sl5050_phantom,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",720p@30fps,"8 MP, f/2.8",,Yes,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct","4.0, A2DP, LE",GPS,No,Stereo FM radio,microUSB 2.0,"Accelerometer, proximity",Up to 8 h (3G),"Dark Blue, Gold",,HSDPA 850 / 1700(AWS) / 1900 / 2100 ,"2, 4, 5, 7, 12, 17",,"HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps",Mali-T720,"LED flash, panorama",,,,,LED flash,2016,1,2500,0,145.5,70.5,-1,121,2,0,0,1,0,1,0,amoled,60,5.0,68.9,67.2,720,1280,294,android,6.0,mediatek,,,4,1.3,microsdxc,16.0,1.0,16
verykool,verykool_sl5200_eclipse,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,,"720 x 1280 pixels, 16:9 ratio (~282 ppi density)",1080p@30fps,"8 MP, f/2.8",,Yes,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct","4.0, A2DP, LE",GPS,No,Stereo FM radio,microUSB 2.0,"Accelerometer, proximity",Up to 10 h (3G),Black,,HSDPA 850 / 1700(AWS) / 1900 / 2100 ,"2, 4, 5, 7, 12, 17",,"HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps",Mali-T720,"LED flash, panorama",,,,,LED flash,2016,1,2900,2,149.8,73.4,-1,141,2,0,0,1,0,1,0,ips lcd,60,5.2,74.5,67.8,720,1280,282,android,6.0,mediatek,,,8,1.3,microsdxc,16.0,2.0,16
verykool,verykool_s5035_spear,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",1080p@30fps,"8 MP, f/2.8",,Yes,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct","4.0, A2DP",GPS,No,Stereo FM radio,microUSB 2.0,"Accelerometer, proximity",Up to 8 h (3G),"Black, Blue",,HSDPA 850 / 1700 / 1900 / 900,,,HSPA 21.1/5.76 Mbps,Mali-400MP2,"LED flash, panorama",,,,,,2017,1,2000,2,146.5,72.0,-1,145,2,0,1,1,0,0,0,ips lcd,60,5.0,68.9,65.3,720,1280,294,android,6.0,mediatek,,,4,1.3,microsdxc,8.0,1.0,8
verykool,verykool_sl5565_rocket,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,,"720 x 1280 pixels, 16:9 ratio (~267 ppi density)",720p@30fps,"8 MP, f/2.8",,Yes,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct","4.0, A2DP, LE",GPS,No,Stereo FM radio,microUSB 2.0,"Fingerprint (front-mounted), accelerometer, proximity",Up to 8 h (3G),"Darg Gray, Gold, White",,HSDPA 850 / 1700(AWS) / 1900 / 2100 ,"2, 3, 4, 5, 7, 12, 17",,"HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps",Mali-T720MP2,"Triple-LED flash, panorama",,,,,LED flash,2017,1,2700,0,156.4,79.2,-1,172,2,0,1,1,0,1,0,ips lcd,60,5.5,83.4,67.3,720,1280,267,android,7.0,mediatek,,,4,1.3,microsdxc,16.0,2.0,13
verykool,verykool_s5200_orion,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,,"480 x 854 pixels, 16:9 ratio (~188 ppi density)",Yes,5 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct","4.0, A2DP, LE",GPS,No,Stereo FM radio,microUSB 2.0,"Fingerprint (rear-mounted), accelerometer",Up to 5 h (3G),"Black, Gold, Blue",,HSDPA 850 / 900 / 1900 / 2100 ,,,HSPA 21.1/5.76 Mbps,Mali-400MP2,"LED flash, panorama",,,,,LED flash,2017,1,2000,1,148.6,74.3,-1,164,2,0,1,0,0,1,0,ips lcd,60,5.2,74.5,67.5,480,854,188,android,7.0,mediatek,,,4,1.3,microsdxc,16.0,1.0,8
verykool,verykool_s3501_lynx,GSM,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,,"320 x 480 pixels, 3:2 ratio (~165 ppi density)",720p@30fps,VGA,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP",GPS,No,FM radio,microUSB 2.0,Accelerometer,Up to 3 h (3G),"Yellow, Blue",,,,,,Mali-400,LED flash,,,,,,2014,1,1000,2,113.4,60.2,-1,88.5,2,1,0,1,0,0,0,tft,60,3.5,36.5,53.4,320,480,165,android,4.4.2,mediatek,,,2,1.3,microsdhc,0.512,0.256,2
