manufacturer,device,Network_Technology,Network_2G bands,Network_GPRS,Network_EDGE,Body,Display_Resolution,Main Camera_Video,Selfie camera_Single,Selfie camera_Video,Sound_Loudspeaker,Sound_3.5mm jack ,Comms_WLAN,Comms_Bluetooth,Comms_Positioning,Comms_NFC,Comms_Radio,Comms_USB,Features_Sensors,Battery_Talk time,Misc_Colors,Misc_Price,Network_3G bands,Network_4G bands,Network_,Network_Speed,Platform_GPU,Camera_Features,Memory_,Misc_Models,Body_Build,Main Camera_Triple,Selfie camera_Features,Launch_year,IsAvailable,Battery_Capacity,Battery_Removability,Body_length_mm,Body_width_mm,Body_depth_mm,Body_Weight_g,num_slots_sim,has_mini_sim,has_nano_sim,has_micro_sim,has_e_sim,stand-by_sim,hybrid_sim,display_tech,display_refresh,display_diagonal_inches,display_area_cm2,display_screen_body_ratio,display_width_px,display_height_px,display_density,platform_os,platform_os_ver,platform_chipset_manufacturer,platform_chipset_details,platform_chipset_node,platform_cpu_count,platform_cpu_speed_ghz,memory_card_slot,memory_internal_storage,memory_ram,main_camera_single_mp
cat,cat_b35,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,"IP68 dust/water resistant (up to 1.2m for 35 min)
MIL-STD-810G compliant
Drop-to-concrete resistance from up to 1.8m
Flashlight","240 x 320 pixels, 4:3 ratio (~167 ppi density)",480p@30fps,,,Yes,Yes,Wi-Fi 802.11 b/g/n,"4.1, A2DP, LE","GPS, GLONASS",No,FM radio,microUSB 2.0,Accelerometer,Up to 12 h (3G),Black,About 110 EUR,HSDPA 850 / 900 / 1900 / 2100 ,"1, 3, 7, 8, 20",,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",Adreno 304,LED flash,eMMC 4.5,,,,,2018,1,2300,0,138.0,60.0,14.0,130,1,0,1,0,0,0,0,tft,60,2.4,17.8,21.5,240,320,167,kaios,2.5.1,qualcomm,,,2,1.3,microsdxc,4.0,0.512,2
cat,cat_s41,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),,,"IP68 dust/water resistant (up to 2m for 60 min)
Drop-to-concrete resistance from up to 1.8m
MIL-STD-810G compliant","1080 x 1920 pixels, 16:9 ratio (~441 ppi density)",1080p@30fps,8 MP,1080p@30fps,Yes,Yes,Wi-Fi 802.11 b/g/n,"4.1, A2DP, LE","GPS, GLONASS, BDS (market dependant)",No,FM radio,"microUSB 2.0, OTG","Accelerometer, proximity, compass",Up to 38 h (3G),Black,About 450 EUR,HSDPA 850 / 900 / 1900 / 2100 - EU,"1, 2, 3, 5, 7, 8, 20 - EU","1, 2, 3, 4, 5, 7, 8, 28, 38, 39, 40, 41 - APAC/LATAM","HSPA 42.2/5.76 Mbps, LTE (2CA) Cat6 300/50 Mbps",Mali-T880MP2,LED flash,,S41,,,,2017,1,5000,0,152.0,75.0,12.9,218,1,0,1,0,0,0,0,tft,60,5.0,68.9,60.5,1080,1920,441,android,7.0,mediatek,,,8,1.6,microsdxc,32.0,3.0,13
cat,cat_s31,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),,,"IP68 dust/water resistant (up to 1.2m for 30 min)
Drop-to-concrete resistance from up to 1.8m
MIL-STD-810G compliant","720 x 1280 pixels, 16:9 ratio (~312 ppi density)",720p@30fps,2 MP,,Yes,Yes,Wi-Fi 802.11 b/g/n,"4.1, A2DP, LE","GPS, GLONASS, BDS",No,FM radio,"microUSB 2.0, OTG","Accelerometer, proximity, compass",,Black,About 330 EUR,HSDPA 850 / 900 / 1900 / 2100 - EU,"1, 2, 3, 5, 7, 8, 20 - EU","2, 3, 4, 5, 7, 12, 17 - USA","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",Adreno 304,LED flash,eMMC 4.5,,,,,2017,1,4000,0,146.0,74.4,12.6,200,1,0,1,0,0,0,0,tft,60,4.7,60.9,56.1,720,1280,312,android,7.0,qualcomm,,,4,1.3,microsdxc,16.0,2.0,8
cat,cat_s52,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2  (dual-SIM model only),,,"IP68 dust/water resistant (up to 1.5m for 35 min)
Drop-to-concrete resistance from up to 1.5m
MIL-STD-810G compliant","720 x 1440 pixels, 18:9 ratio (~285 ppi density)","1080p@30fps, gyro-EIS",8 MP,1080p@30fps,Yes,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","5.0, A2DP, LE","GPS, GLONASS, GALILEO, BDS",Yes,FM radio,"USB Type-C 2.0, OTG","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",,Black,About 440 EUR,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 ,"1, 2, 3, 4, 5, 7, 8, 20, 28, 38",,"HSPA 42.2/5.76 Mbps, LTE (2CA) Cat6 300/100 Mbps",PowerVR GE8320,LED flash,eMMC 5.1,,"Glass front (Gorilla Glass 6), plastic back, aluminum frame",,,2019,1,3100,0,158.1,76.6,9.7,210,1,0,1,0,0,0,0,ips lcd,60,5.65,82.4,68.0,720,1440,285,android,9.0,mediatek,,,8,1.8,microsd,64.0,4.0,12
coolpad,coolpad_cool1_dual,GSM / CDMA / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,,"1080 x 1920 pixels, 16:9 ratio (~401 ppi density)","4K@30fps, 1080p@30fps, 720p@120fps","8 MP, f/2.2, 1/3.2"", 1.4µm",1080p@30fps,Yes,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","4.1, A2DP, LE","GPS, GLONASS, BDS",No,No,USB Type-C,"Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",,"Gold, Silver, Rose Gold",About 200 EUR,HSDPA 850 / 900 / 1900 / 2100 ,"1, 3, 5, 7, 8, 38, 39, 40, 41", TD-SCDMA,"HSPA, LTE",Adreno 510,"Dual-LED dual-tone flash, panorama, HDR",eMMC 5.1,"R116, C1-U02",,,,2016,1,4060,0,152.0,74.8,8.2,167,2,0,1,0,0,1,0,ips lcd,60,5.5,83.4,73.3,1080,1920,401,android,6.0,qualcomm,,,8,1.8,no,64.0,4.0,13
coolpad,coolpad_note_3_lite,GSM / HSPA / LTE,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),,,,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",1080p@30fps,"5 MP, f/2.4",,"Yes, with stereo speakers",Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, DLNA, hotspot","4.0, A2DP",GPS,No,"Stereo FM radio, recording","microUSB 2.0, OTG","Fingerprint (rear-mounted), accelerometer, proximity",Up to 10 h,"Black, White, Champagne white",About 110 EUR,HSDPA 900 / 2100 ,"1, 2, 3, 8, 40",,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",Mali-T720MP2,"LED flash, HDR, panorama",,CP8298_I00,,,,2016,1,2500,0,140.8,70.4,8.9,142,1,0,0,1,0,0,0,ips lcd,60,5.0,68.9,69.5,720,1280,294,android,5.1,mediatek,,,4,1.3,microsdhc,16.0,3.0,13
coolpad,coolpad_note_5,GSM / HSPA / LTE,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,,,,"1080 x 1920 pixels, 16:9 ratio (~401 ppi density)",1080p@30fps,"8 MP, f/2.2",,Yes,Yes,Wi-Fi 802.11 b/g/n,"4.0, A2DP",GPS,No,FM radio,"microUSB 2.0, OTG","Fingerprint (rear-mounted), accelerometer, proximity, compass",,"Royal Gold, Space Gray",About 180 EUR,HSDPA 900 / 2100 ,"1, 3, 40",,"HSPA, LTE",Adreno 405,"LED flash, HDR, panorama",eMMC 5.1,3600I,,,LED flash,2016,1,4010,0,152.0,75.7,8.9,173.4,2,0,0,0,0,0,1,ips lcd,60,5.5,83.4,72.5,1080,1920,401,android,6,qualcomm,,,8,1.0,microsdxc,64.0,4.0,13
cubot,cubot_kingkong_mini_3,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,Water/dust resistant,480 x 1170 pixels (~281 ppi density),Yes,5 MP,Yes,Yes,Unspecified,"Wi-Fi 802.11 a/b/g/n/ac, dual-band","5.0, A2DP, LE","GPS, GLONASS, GALILEO, BDS",Yes,Unspecified,USB Type-C,"Accelerometer, gyro, proximity, compass",,Black/Red,About 160 EUR,HSDPA 900 / 2100 ,"1, 3, 5, 7, 8, 19, 20, 40",,"HSPA, LTE",Mali-G52 MC2,LED flash,,,,,,2022,1,3000,0,131.0,58.1,13.4,149,2,0,1,0,0,1,0,ips lcd,60,4.5,45.9,60.3,480,1170,281,android,12,mediatek,,,8,1.8,no,128.0,6.0,20
cubot,cubot_pocket,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,,"540 x 1080 pixels, 18:9 ratio (~302 ppi density)",Yes,5 MP,Yes,Yes,No,"Wi-Fi 802.11 a/b/g/n/ac, dual-band","5.0, A2DP","GPS, GLONASS, GALILEO",Yes,Unspecified,USB Type-C,"Accelerometer, gyro, proximity, compass",,"Black, Black/Red, Green/Gold",,HSDPA 900 / 2100 ,"1, 3, 5, 7, 8, 19, 20, 40",,"HSPA, LTE",PowerVR GE8300,LED flash,,,,,,2022,1,3000,0,119.0,58.0,12.5,128,2,0,1,0,0,1,1,ips lcd,60,4.0,41.3,59.8,540,1080,302,android,11,unisoc,,,4,1.8,microsdxc,64.0,4.0,16
cubot,cubot_pocket_3,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,,480 x 1170 pixels (~281 ppi density),Yes,5 MP,Yes,Yes,Unspecified,"Wi-Fi 802.11 a/b/g/n/ac, dual-band","5.0, A2DP","GPS, GLONASS, GALILEO, BDS",Yes,Unspecified,USB Type-C,"Accelerometer, gyro, proximity, compass",,"Blue, Black, Green",,HSDPA 900 / 2100 ,"1, 3, 5, 7, 8, 19, 20, 40",,"HSPA, LTE",Mali-G52 MC2,LED flash,,,,,,2022,1,3000,1,133.2,58.5,12.3,135,2,0,1,0,0,1,0,tft,60,4.5,45.9,58.9,480,1170,281,android,12,mediatek,,,8,1.8,no,64.0,4.0,20
cubot,cubot_tab_60,5G, N/A,,,,"800 x 1280 pixels, 16:10 ratio (~149 ppi density)",Yes,5 MP,Yes,"Yes, with stereo speakers",Yes,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band",5.2,,No,Unspecified,"USB Type-C, OTG",Accelerometer,,Gray,, N/A, N/A,,,,LED flash,,,,,,2024,1,6000,0,241.4,160.2,8.3,530,0,0,0,0,0,0,0,ips lcd,60,10.1,95.8,76.5,800,1280,149,android,13,allwinner,,,8,1.8,microsdxc,128.0,8.0,13
cubot,cubot_tab_50,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,,"1200 x 2000 pixels, 5:3 ratio (~224 ppi density)",Yes,5 MP,Yes,"Yes, with stereo speakers (4 speakers)",No,"Wi-Fi 802.11 a/b/g/n/ac, dual-band",5.2,"GPS, GLONASS, GALILEO, BDS",No,Unspecified,"USB Type-C, OTG","Accelerometer, gyro, compass",,Gray,,HSDPA 900 / 2100 ,"1, 3, 7, 8, 20",,"HSPA, LTE",Mali-G57 MC2,LED flash,,,,,,2024,1,7500,0,246.4,161.5,7.7,455,2,0,1,0,0,1,1,ips lcd,60,10.4,307.9,77.4,1200,2000,224,android,13,mediatek,,,8,2.0,microsdxc,256.0,8.0,13
cubot,cubot_kingkong_mini_2_pro,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,Water/dust resistant,"540 x 1080 pixels, 18:9 ratio (~302 ppi density)",Yes,5 MP,Yes,Yes,Unspecified,Wi-Fi 802.11 a/b/g/n,"5.0, A2DP, LE","GPS, GLONASS, GALILEO, BDS",No,Unspecified,USB Type-C,"Accelerometer, gyro, proximity, compass",,"Black/Red, Black/Orange",,HSDPA 900 / 2100 ,"1, 3, 7, 8, 19, 20, 40",,"HSPA, LTE",PowerVR GE8320,LED flash,,,,,,2022,1,3000,0,119.0,58.0,12.5,122.7,2,0,1,0,0,1,0,ips lcd,60,4.0,41.3,59.8,540,1080,302,android,11,mediatek,,,8,1.5,microsdxc,64.0,4.0,13
cubot,cubot_kingkong_mini_2,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,Water/dust resistant,"540 x 1080 pixels, 18:9 ratio (~302 ppi density)",Yes,8 MP,Yes,Yes,Unspecified,Wi-Fi 802.11 a/b/g/n,"4.2, A2DP","GPS, GLONASS, GALILEO, BDS",No,Unspecified,USB Type-C,"Accelerometer, gyro, proximity, compass",,"Red/Black, Orange/Black",,HSDPA 900 / 2100 ,"1, 3, 7, 8, 19, 20",,"HSPA, LTE",PowerVR GE8320,LED flash,,,,,,2020,1,3000,0,119.0,58.0,12.1,122.7,2,0,1,0,0,1,0,ips lcd,60,4.0,41.3,59.8,540,1080,302,android,10,mediatek,,,4,2.0,microsdxc,32.0,3.0,13
dell,dell_venue_10_7000,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 ,Yes,Yes,,"1600 x 2560 pixels, 16:10 ratio (~288 ppi density)",Yes,2 MP,,"Yes, with stereo speakers",Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, hotspot","4.0, A2DP",GPS,No,No,microUSB 2.0,"Accelerometer, proximity, compass",Up to 7 h (multimedia),Black,About 460 EUR, HSDPA, LTE (unspecified),,"HSPA, LTE",PowerVR G6430,,,,,,,2015,1,7000,0,243.4,195.4,6.2,597,0,0,0,1,0,0,0,oled,60,10.5,319.7,67.2,1600,2560,288,android,5.0,intel,,,4,2.3,microsdxc,32.0,2.0,8
dell,dell_venue_8,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,,,,"800 x 1280 pixels, 16:10 ratio (~189 ppi density)",Yes,2 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP",GPS,No,No,microUSB 2.0,"Accelerometer, proximity, compass",,Black,About 130 EUR,HSDPA 900 / 2100 ,,,HSPA,PowerVR SGX544MP2,,,,,,,2013,1,4100,0,212.0,130.0,9.8,292,0,0,0,1,0,0,0,ips lcd,60,8.0,185.6,67.3,800,1280,189,android,4.2.2,intel,,,2,2.0,microsdhc,32.0,2.0,5
dell,dell_streak,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,,,,"480 x 800 pixels, 5:3 ratio (~187 ppi density)",480p@20fps; 720p (via SW update),VGA,,Yes,Yes,"Wi-Fi 802.11 b/g, hotspot (charges may apply)","2.0, A2DP","GPS, A-GPS",,No,2,"Accelerometer, proximity, compass",Up to 9 h 48 min,"Black, Red, white",About 190 EUR,HSDPA 900 / 2100 ,,HSDPA 850 / 1900 / 2100 ,HSPA 7.2/5.76 Mbps,Adreno 200,Dual-LED flash,,,,,,2010,1,1530,1,152.9,79.1,10.0,220,0,1,0,0,0,0,0,tft,60,5.0,71.,58.8,480,800,187,android,os,qualcomm,,,,1.0,microsdhc,16.0,0.512,5
dell,dell_venue_7,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,,,,"800 x 1280 pixels, 16:10 ratio (~216 ppi density)",Yes,VGA,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP",GPS,No,No,microUSB 2.0,"Accelerometer, proximity, compass",,"Black, Red",About 100 EUR,HSDPA 900 / 2100 ,,,HSPA,PowerVR SGX544MP2,,,,,,,2013,1,4100,0,193.0,118.0,9.6,234,0,0,0,1,0,0,0,ips lcd,60,7.0,142.1,62.4,800,1280,216,android,4.2.2,intel,,,2,1.6,microsdhc,16.0,2.0,3.15
dell,dell_venue_pro,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,,,,"480 x 800 pixels, 5:3 ratio (~228 ppi density)",720p,,,Yes,Yes,Wi-Fi 802.11 b/g/n,"2.1, A2DP","GPS, A-GPS",,"Stereo FM radio, RDS",microUSB 2.0,"Accelerometer, proximity, compass",Up to 7 h,Black,About 220 EUR,HSDPA 900 / 1700 / 2100 ,,,HSPA 7.2/5.76 Mbps,Adreno 200,LED flash,,,,,,2010,1,1400,1,122.0,63.5,15.2,192.8,0,1,0,0,0,0,0,amoled,60,4.1,47.8,61.8,480,800,228,microsoft,windows,qualcomm,,,,1.0,microsdhc,16.0,0.512,5
dell,dell_venue,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,,,,"480 x 800 pixels, 5:3 ratio (~228 ppi density)",720p,,,Yes,Yes,"Wi-Fi 802.11 b/g, hotspot",Yes,"GPS, A-GPS",,FM radio,microUSB 2.0,"Accelerometer, proximity, compass",,Black,About 390 EUR,HSDPA 850 / 1900 / 2100 ,,HSDPA 900 / 1700 / 2100 ,HSPA 7.2/5.76 Mbps,Adreno 200,LED flash,,,,,,2010,1,1400,1,121.0,64.0,12.9,164,0,1,0,0,0,0,0,amoled,60,4.1,47.8,61.8,480,800,228,android,2.2,qualcomm,,,,1.0,microsdhc,1.0,0.512,8
dell,dell_venue_7_8_gb,No cellular connectivity, N/A,No,No,,"800 x 1280 pixels, 16:10 ratio (~216 ppi density)",Yes,VGA,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP",GPS,No,No,microUSB 2.0,"Accelerometer, proximity, compass",,"Black, Red",,,,,,PowerVR SGX544MP2,,,,,,,2013,1,4100,0,193.0,118.0,9.6,234,0,0,0,0,0,0,0,ips lcd,60,7.0,142.1,62.4,800,1280,216,android,4.2.2,intel,,,2,1.6,microsdhc,8.0,1.0,3.15
doogee,doogee_t20mini,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,Stylus support,"1200 x 1920 pixels, 16:10 ratio (~270 ppi density)",1080p@30/60fps,5 MP,Yes,"Yes, with stereo speakers",Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band","5.0, A2DP, LE","GPS, GLONASS, GALILEO, BDS",No,FM radio,USB Type-C 2.0,"Accelerometer, gyro, compass",,"Moonlit Purple, Mint Green, Midnight Black",About 240 EUR,HSDPA 850 / 900 / 1900 / 2100 ,"1, 3, 5, 7, 8, 20, 28, 34, 38, 39, 40, 41",,"HSPA, LTE",Mali-G57 MP1,LED flash,eMMC 5.1,,,,,2023,1,5060,0,202.5,125.8,7.4,330,2,0,1,0,0,1,1,ips lcd,60,8.4,04.6,80.3,1200,1920,270,android,13,unisoc,,,8,1.6,microsdxc,128.0,4.0,13
energizer,energizer_e242s+,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,,"240 x 320 pixels, 4:3 ratio (~167 ppi density)",Yes,,,Yes,Yes,Yes,"4.0, A2DP",GPS,No,FM radio,microUSB,No,,Black,About 30 EUR,HSDPA 850 / 900 / 2100 ,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 20, 26, 28, 38, 40, 41, 66",,"HSPA, LTE",PowerVR GE8100,LED flash,,,,,,2024,1,2000,2,130.8,53.6,13.0,116,2,0,1,1,0,1,0,tft lcd,60,2.4,17.8,25.4,240,320,167,kaios,2.x,mediatek,,,4,1.5,microsdhc,4.0,0.512,2
energizer,energizer_energy_e241s,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,,"240 x 320 pixels, 4:3 ratio (~167 ppi density)",Yes,0.3 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","2.1, EDR",GPS,No,FM radio,microUSB 2.0,,,"Black, Carbon black, Gray, White, Orange, Bordo Red",,HSDPA 900 / 2100 ,"3, 7, 20",,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",,LED flash,,,,,,2019,1,1900,2,125.3,54.0,14.5,95,2,1,0,0,0,0,0,tft lcd,60,2.4,17.8,26.4,240,320,167,kaios,2.5.1,spreadtrum,,,2,1.3,microsdhc,0.512,0.512,0.3
energizer,energizer_e280s,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,,"240 x 320 pixels, 4:3 ratio (~143 ppi density)",Yes,VGA,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","2.1, EDR",GPS,No,FM radio,microUSB,,,"Black, White, Gray, Blue, Green, Yellow, Brown",About 40 EUR,HSDPA 900 / 2100 ,"1, 3, 7, 8, 20, 28, 40",,"HSPA, LTE",Mali-T820,LED flash,eMMC,,,,,2021,1,3000,2,134.5,56.0,16.8,113,2,0,0,1,0,1,0,tft lcd,60,2.8,4.3,32.2,240,320,143,kaios,2.5.3,spreadtrum,,,2,1.2,microsdhc,4.0,0.512,2
energizer,energizer_e242s,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,,"240 x 320 pixels, 4:3 ratio (~167 ppi density)",Yes,0.3 MP,Yes,Yes,Yes,Yes,"4.2, A2DP, LE",GPS,No,FM radio,microUSB,No,,"Black, Blue, Pink, Gold, Silver",About 40 EUR,HSDPA 850 / 900 / 2100 ,"1, 3, 7, 8, 20, 28, 38, 40, 41",,"HSPA, LTE",PowerVR GE8100,LED flash,,,,,,2022,1,1700,1,130.8,53.6,13.0,116,2,0,0,1,0,1,0,tft lcd,60,2.4,17.8,25.4,240,320,167,kaios,2.5.3,mediatek,,,4,1.5,microsdhc,4.0,0.512,0.3
energizer,energizer_e282sc,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,Flashlight,"240 x 320 pixels, 4:3 ratio (~143 ppi density)",No,,,Yes,Yes,Yes,"4.2, A2DP",GPS,No,FM radio,microUSB 2.0,,,"Black, Silver/Diamond, Gold/Diamond, Pink/Diamond",About 60 EUR,HSDPA 850 / 900 / 2100 ,"1, 3, 7, 8, 20, 28, 38, 40, 41",,HSPA,PowerVR GE8100,,,,,,,2021,1,1400,1,108.5,58.0,18.5,101,2,0,0,1,0,1,0,tft lcd,60,2.8,4.3,38.6,240,320,143,kaios,2.5.3,mediatek,,,4,1.1,microsdhc,4.0,0.512,2
energizer,energizer_ultimate_u608s,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,,"720 x 1520 pixels, 19:9 ratio (~277 ppi density)",1080p@30/60fps,5 MP,720p,Yes,Yes,Wi-Fi 802.11 b/g/n,"4.2, A2DP",GPS,No,FM radio,microUSB,,,Black,About 90 EUR,HSDPA 850 / 900 / 2100 , LTE,,"HSPA, LTE",PowerVR GE8320,LED flash,eMMC 5.1,,,,,2022,1,3000,2,155.4,73.3,9.8,156.8,2,0,1,0,0,1,0,lcd,60,6.08,92.3,81.0,720,1520,277,android,12,mediatek,,,4,2.0,microsdxc,32.0,2.0,5
fairphone,fairphone_3,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,,"1080 x 2160 pixels, 18:9 ratio (~427 ppi density)","4K@30fps, 1080p@30fps, gyro-EIS","8 MP, f/2.0, (wide), 1/4.0""","1080p@30fps, gyro-EIS",Yes,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","5.0, A2DP, LE","GPS, GLONASS, GALILEO",Yes,No,USB Type-C 2.0,"Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",,Black,About 400 EUR,HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100 ,"1, 2, 3, 4, 5, 7, 8, 13, 20, 26",,"HSPA 42.2/5.76 Mbps, LTE (2CA) Cat6 300/150 Mbps",Adreno 506,"Dual-LED dual-tone flash, HDR, panorama",eMMC 5.1,,,,,2019,1,3040,1,158.0,71.8,9.9,189,2,0,1,0,0,1,0,ips lcd,60,5.65,82.4,72.6,1080,2160,427,android,9.0,qualcomm,,,8,1.8,microsdxc,64.0,4.0,12
fairphone,fairphone_3+,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,,"1080 x 2160 pixels, 18:9 ratio (~427 ppi density)","4K@30fps, 1080p@30fps, gyro-EIS","16 MP, f/2.0, (wide), 1/3.1""","1080p@30fps, gyro-EIS",Yes,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","5.0, A2DP, LE","GPS, GLONASS, GALILEO",Yes,No,USB Type-C 2.0,"Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",,Black,About 440 EUR,HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100 ,"1, 2, 3, 4, 5, 7, 8, 13, 20, 26",,"HSPA 42.2/5.76 Mbps, LTE (2CA) Cat6 300/150 Mbps",Adreno 506,"Dual-LED dual-tone flash, HDR, panorama",eMMC 5.1,,"Glass front (Gorilla Glass 5), plastic back, plastic frame",,HDR,2020,1,3040,1,158.0,71.8,9.9,189,2,0,1,0,0,1,0,ips lcd,60,5.65,82.4,72.6,1080,2160,427,android,10,qualcomm,,,8,1.8,microsdxc,64.0,4.0,48
garmin_asus,garmin_asus_nuvifone_a50,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,,,,"320 x 480 pixels, 3:2 ratio (~165 ppi density)",480p@24fps,,,Yes,No,Wi-Fi 802.11b/g,"2.0, A2DP, EDR","GPS, A-GPS, Garmin navigation",,No,2,"Accelerometer, compass",Up to 5 h,Black,,HSDPA 1700 / 2100 ,,,HSPA 7.2/0.384 Mbps,Adreno 200,,,,,,,2010,1,1150,1,116.0,62.2,12.0,136,0,1,0,0,0,0,0,tft,60,3.5,36.5,50.6,320,480,165,android,2.1,qualcomm,,,,0.011,microsdhc,4.0,0.256,3.15
gigabyte,gigabyte_gsmart_classic,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",Yes,5 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","2.1, EDR",GPS,No,FM radio,microUSB 2.0,"Accelerometer, proximity",Up to 10 h,"Black, Gray",About 100 EUR,HSDPA 2100 ,,,HSPA 21.1/5.76 Mbps,Mali-400,LED flash,,,,,,2015,1,2000,1,145.0,73.0,8.6,150,2,1,0,1,0,1,0,ips lcd,60,5.0,68.9,65.1,720,1280,294,android,5.1,spreadtrum,,,4,1.2,microsdhc,8.0,1.0,8
gigabyte,gigabyte_gsmart_guru_gx,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,,"1080 x 1920 pixels, 16:9 ratio (~441 ppi density)",Yes,5 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, LE","GPS, GLONASS",No,FM radio,microUSB 2.0,"Accelerometer, gyro, proximity, compass",Up to 14 h,Black,,HSDPA 900 / 2100 ,"3, 7, 20",,"HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps",Adreno 405,LED flash,eMMC 4.5,,,,,2015,1,2300,0,139.0,69.0,7.0,115,2,0,1,1,0,0,0,ips lcd,60,5.0,68.9,71.9,1080,1920,441,android,4.4,qualcomm,,,8,1.0,microsdxc,32.0,2.0,13
