manufacturer,device,Network_Technology,Network_2G bands,Network_GPRS,Network_EDGE,Launch_Announced,Launch_Status,Body_Weight,Body_SIM,Body,Display_Type,Display_Size,Display_Resolution,Platform_OS,Platform_Chipset,Platform_CPU,Memory_Card slot,Memory_Internal,Main Camera_Single,Main Camera_Video,Selfie camera_Single,Selfie camera_Video,Sound_Loudspeaker,Sound_3.5mm jack ,Comms_WLAN,Comms_Bluetooth,Comms_Positioning,Comms_NFC,Comms_Radio,Comms_USB,Features_Sensors,Battery_Type,Battery_Talk time,Misc_Colors,Misc_Price,Network_3G bands,Network_4G bands,Network_,Network_Speed,Platform_GPU,Camera_Features,Memory_,Misc_Models,Body_Build,Main Camera_Triple,Selfie camera_Features,Body_length_mm,Body_width_mm,Body_depth_mm
maxwest,maxwest_astro_6,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,"2015, June. Released 2015, September",Discontinued,150 g (5.29 oz),Dual SIM (dual stand-by),,IPS LCD,"6.0 inches, 99.2 cm2 (~71.2% screen-to-body ratio)","540 x 960 pixels, 16:9 ratio (~184 ppi density)",Android 4.4.2 (KitKat),Mediatek MT6582M (28 nm),Quad-core 1.3 GHz Cortex-A7,microSDHC,8GB 1GB RAM,"8 MP, AF",720p,2 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP",GPS,No,Stereo FM radio,microUSB 2.0,"Accelerometer, proximity","Li-Ion 3000 mAh, removable",Up to 15 h (3G),"White, Black, Blue, Red",,HSDPA 850 / 1900 / 2100 ,,,HSPA 21.1/5.76 Mbps,Mali-400MP2,LED flash,,,,,,166.0,84.0,8.8
maxwest,maxwest_nitro_55_lte,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,"2016, November. Released 2017, January",Discontinued,163 g (5.75 oz),Dual SIM (dual stand-by),,IPS LCD,"5.5 inches, 83.4 cm2 (~70.2% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~267 ppi density)",Android 6.0 (Marshmallow),Mediatek MT6737 (28 nm),Quad-core 1.3 GHz Cortex-A7,microSDHC,8GB 1GB RAM,"8 MP, AF",720p@30fps,2 MP,,Yes,Yes,Wi-Fi 802.11 b/g/n,"4.0, A2DP",GPS,No,Stereo FM radio,microUSB 2.0,"Fingerprint (rear-mounted), accelerometer, proximity","Li-Ion 3000 mAh, removable",Up to 15 h,"Dark Blue, White, Gold",,HSDPA 850 / 1700 / 2100 ,"2, 4, 5, 7, 12, 17",,"HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps",Mali-T720MP2,LED flash,eMMC 5.0,,,,,153.0,77.6,7.9
maxwest,maxwest_gravity_6,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,"2014, April. Released 2014, March",Discontinued,207 g (7.30 oz),"Dual SIM, (Dual stand-by)",,IPS LCD,"6.0 inches, 99.2 cm2 (~72.3% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~245 ppi density)",Android 4.4.2 (KitKat),Broadcom BCM23550,Quad-core 1.2 GHz Cortex-A7,microSDXC,4GB 1GB RAM,"13 MP, AF",1080p@30fps,2 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP",GPS,No,Stereo FM radio,microUSB 2.0,"Accelerometer, proximity","Li-Ion 2800 mAh, removable",Up to 14 h,"Black, White, Red",,HSDPA 850 / 1900 / 1700,,,HSPA 21.1/5.76 Mbps,Broadcom VideoCore,LED flash,,,,,,163.3,84.0,8.9
maxwest,maxwest_astro_x55,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,"2016, January. Released 2016, February",Discontinued,174 g (6.14 oz),Dual SIM (Dual stand-by),,IPS LCD,"5.5 inches, 83.4 cm2 (~72.6% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~267 ppi density)",Android 5.1 (Lollipop),Mediatek MT6580 (28 nm),Quad-core 1.5 GHz Cortex-A7,microSDHC,8GB 1GB RAM,"8 MP, AF",720p,5 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP",GPS,No,Stereo FM radio,microUSB 2.0,"Accelerometer, proximity","Li-Ion 2200 mAh, removable",Up to 14 h,Gold/White,,HSDPA 850 / 1700(AWS) / 1900 ,,,HSPA 21.1/5.76 Mbps,Mali-400MP2,LED flash,,,,,,150.5,76.3,7.8
maxwest,maxwest_nitro_phablet_71,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,"2015, January. Released 2015, February",Discontinued,321 g (11.32 oz),"Dual SIM, (Dual stand-by)",,IPS LCD,"7.0 inches, 137.9 cm2 (~70.4% screen-to-body ratio)","600 x 1024 pixels, 16:9 ratio (~170 ppi density)",Android 4.4.2 (KitKat),Mediatek MT6572 (28 nm),Dual-core 1.2 GHz Cortex-A7,microSDHC,4GB 512MB RAM,5 MP,1080p@30fps,2 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot",3,GPS,No,Stereo FM radio,microUSB 2.0,"Accelerometer, proximity","Li-Ion 2800 mAh, removable",Up to 14 h,"White, Black, Blue, Dark Blue, Golden, Gray, Pink, Red",,HSDPA 850 / 1900 / 2100 ,,,HSPA 21.1/5.76 Mbps,Mali-400,LED flash,,,,,,192.0,102.0,9.8
maxwest,maxwest_astro_5s,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,"2016, July. Released 2016, August",Discontinued,150 g (5.29 oz),Dual SIM (dual stand-by),,IPS LCD,"5.0 inches, 68.9 cm2 (~66.3% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~196 ppi density)",Android 5.1 (Lollipop),Mediatek MT6580M (28 nm),Quad-core 1.3 GHz Cortex-A7,microSDHC,8GB 1GB RAM,"8 MP, AF",720p@30fps,2 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP",GPS,No,Stereo FM radio,microUSB 2.0,"Accelerometer, proximity","Li-Ion 2000 mAh, removable",Up to 6 h (3G),"White, Black, Pink Red",,HSDPA 850 / 1900 / 2100 ,,,HSPA 21.1/5.76 Mbps,Mali-400MP2,LED flash,,,,,,144.4,72.0,9.1
maxwest,maxwest_nitro_5,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,"2015, June. Released 2015, July",Discontinued,155 g (5.47 oz),Dual SIM (dual stand-by),,IPS LCD,"5.0 inches, 68.9 cm2 (~65.7% screen-to-body ratio)","540 x 960 pixels, 16:9 ratio (~220 ppi density)",Android 4.4.2 (KitKat),Spreadtrum SC7731,Quad-core 1.2 GHz Cortex-A7,microSDHC,4GB 512MB RAM,5 MP,1080p@25fps,VGA,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot",2.1,GPS,No,Stereo FM radio,microUSB 2.0,Accelerometer,"Li-Ion 2000 mAh, removable",Up to 12 h (3G),"Silver, Black, Gray",,HSDPA 850 / 1900 ,,,HSPA 21.1/5.76 Mbps,Mali-400,LED flash,,,,,,145.6,72.0,9.6
maxwest,maxwest_gravity_5_lte,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,"2016, January. Released 2016, February",Discontinued,155 g (5.47 oz),Dual SIM (Dual stand-by),,IPS LCD,"5.0 inches, 68.9 cm2 (~65.1% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",Android 5.1 (Lollipop),Qualcomm MSM8909 Snapdragon 210 (28 nm),Quad-core 1.1 GHz Cortex-A7,microSDXC,8GB 1GB RAM,"8 MP, AF",Yes,2 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot",4.1,GPS,No,FM radio,microUSB 2.0,"Accelerometer, proximity","Li-Ion 2200 mAh, removable",Up to 7 h 30 min,Black/Silver/Gold,,HSDPA 850 / 1700(AWS) / 1900 ,"2, 4, 7, 17",,"HSPA, LTE",Adreno 304,LED flash,eMMC 4.5,,,,,145.5,72.8,8.9
maxwest,maxwest_astro_x4,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,"2016, January. Released 2016, February",Discontinued,122 g (4.30 oz),Dual SIM (Dual stand-by),,"TFT, 256K colors","4.0 inches, 45.5 cm2 (~57.6% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~233 ppi density)",Android 4.4 (KitKat),Mediatek MT6572M (28 nm),Dual-core 1.0 GHz Cortex-A7,microSDHC,4GB 512MB RAM,3.15 MP,720p,"VGA, LED flash",,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP",GPS,No,Stereo FM radio,microUSB 2.0,"Accelerometer, proximity","Li-Ion 1400 mAh, removable",Up to 8 h,"White, Black, Blue, Gold, Pink",,HSDPA 850 / 1700(AWS) / 1900 ,,,HSPA 21.1/5.76 Mbps,Mali-400,LED flash,,,,,,123.5,64.0,9.8
maxwest,maxwest_orbit_x50,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,"2013, October. Released 2013, October",Discontinued,127 g without battery (4.48 oz),Dual SIM (dual stand-by),,LED-backlit IPS LCD,"5.0 inches, 68.9 cm2 (~58.1% screen-to-body ratio)","540 x 960 pixels, 16:9 ratio (~220 ppi density)",Android 4.2.2 (Jelly Bean),Broadcom BCM23550,Quad-core 1.2 GHz Cortex-A7,microSDHC (dedicated slot),4GB 512MB RAM,"8 MP, AF",720p@30fps,0.3 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP",GPS,No,Stereo FM radio,microUSB 2.0,"Accelerometer, gyro, proximity","Li-Ion 2000 mAh, removable",Up to 4 h,"Black, White",,HSDPA 850 / 1900 ,,,HSPA 21.1/5.76 Mbps,,LED flash,,,,,,152.0,78.0,9.9
maxwest,maxwest_gravity_5_5,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,"2014, May. Released 2014, June",Discontinued,174 g (6.14 oz),"Dual SIM, (Dual stand-by)",,IPS LCD,"5.5 inches, 83.4 cm2 (~67.8% screen-to-body ratio)","540 x 960 pixels, 16:9 ratio (~200 ppi density)",Android 4.4.2 (KitKat),Broadcom BCM23550,Quad-core 1.2 GHz Cortex-A7,microSDHC,4GB 1GB RAM,"13 MP, AF",1080p@30fps,2 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot",3,GPS,No,Stereo FM radio,microUSB 2.0,"Accelerometer, proximity","Li-Ion 2300 mAh, removable",Up to 14 h,White/Black/Blue/Rose Red/Yellow,,HSDPA 850 / 1900 / 1700,,,HSPA 21.1/5.76 Mbps,Broadcom VideoCore,LED flash,,,,,,156.2,78.8,8.7
maxwest,maxwest_gravity_5_5_lte,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,"2015, June. Released 2015, September",Discontinued,165 g (5.82 oz),Dual SIM (Dual stand-by),,IPS LCD,"5.5 inches, 83.4 cm2 (~68.8% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~267 ppi density)",Android 5.1 (Lollipop),Mediatek MT6735 (28 nm),Quad-core 1.0 GHz Cortex-A53,microSDHC,8GB 1GB RAM,"13 MP, AF",1080p@30fps,5 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP",GPS,No,Stereo FM radio,microUSB 2.0,"Accelerometer, proximity","Li-Ion 3000 mAh, non-removable",Up to 14 h,"Black, Gold, Silver",,HSDPA 850 / 1700(AWS) / 1900 ,"2, 4, 7, 17",,"HSPA 21.1/5.76 Mbps, LTE",Mali-T720MP2,LED flash,,,,,,155.5,78.0,7.5
maxwest,maxwest_astro_5,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,"2014, November. Released 2014, December",Discontinued,154 g (5.43 oz),Dual SIM (dual stand-by),,IPS LCD,"5.0 inches, 68.9 cm2 (~65.7% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~196 ppi density)",Android 4.4.2 (KitKat),Mediatek MT6582M (28 nm),Quad-core 1.3 GHz Cortex-A7,microSDHC,4GB 512MB RAM,"8 MP, AF",1080p@25fps,1.3 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP",GPS,No,Stereo FM radio,microUSB 2.0,"Accelerometer, proximity","Li-Ion 2000 mAh, removable",Up to 12 h (3G),"White, Black, Blue, Rose Red",,HSDPA 850 / 1900 / 2100 ,,,HSPA 21.1/5.76 Mbps,Mali-400MP2,LED flash,,,,,,142.8,73.4,9.3
maxwest,maxwest_astro_4,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,"2014, October. Released 2014, November",Discontinued,122 g (4.30 oz),Dual SIM (dual stand-by),,TFT,"4.0 inches, 45.5 cm2 (~56.7% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~233 ppi density)",Android 4.4.2 (KitKat),Mediatek MT6572M (28 nm),Dual-core 1.0 GHz Cortex-A7,microSDHC,4GB 512MB RAM,2 MP,720p,VGA,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP",GPS,No,Stereo FM radio,microUSB 2.0,"Accelerometer, proximity","Li-Ion 1400 mAh, removable",Up to 8 h,White/Black,,HSDPA 850 / 1900 ,,,HSPA 21.1/5.76 Mbps,Mali-400,LED flash,,,,,,125.5,64.0,9.8
maxwest,maxwest_nitro_5_5,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,"2015, January. Released 2015, February",Discontinued,174 g (6.14 oz),"Dual SIM, (Dual stand-by)",,IPS LCD,"5.5 inches, 83.4 cm2 (~67.8% screen-to-body ratio)","540 x 960 pixels, 16:9 ratio (~200 ppi density)",Android 4.4.2 (KitKat),Mediatek MT6572 (28 nm),Dual-core 1.2 GHz Cortex-A7,microSDHC,4GB 512MB RAM,"8 MP, AF",720p@30fps,2 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP",GPS,No,Stereo FM radio,microUSB 2.0,"Accelerometer, proximity","Li-Ion 2200 mAh, removable",Up to 14 h,"White, Black, Blue, Pink, Yellow",,HSDPA 850 / 1900 / 1700,,,HSPA 21.1/5.76 Mbps,Mali-400,LED flash,,,,,,156.2,78.8,8.7
meizu,meizu_21_pro,GSM / HSPA / LTE / 5G,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,"2024, February 29","Available. Released 2024, March 02",208 g or 214 g (7.34 oz),"Dual SIM (Nano-SIM, dual stand-by)",IP68 dust/water resistant (up to 1.5m for 30 min),"LTPO AMOLED, 1B colors, 120Hz, HDR10+, 600 nits (typ), 1250 nits (HBM)","6.79 inches, 107.3 cm2 (~87.4% screen-to-body ratio)","1368 x 3192 pixels, 21:9 ratio (~512 ppi density)","Android, Flyme",Qualcomm SM8650-AB Snapdragon 8 Gen 3 (4 nm),Octa-core (1x3.3 GHz Cortex-X4 & 3x3.2 GHz Cortex-A720 & 2x3.0 GHz Cortex-A720 & 2x2.3 GHz Cortex-A520),No,"256GB 12GB RAM, 512GB 16GB RAM, 1TB 16GB RAM",,"8K, 4K, 1080p; gyro-EIS","32 MP, f/2.4, (wide)",Yes,"Yes, with stereo speakers",No,"Wi-Fi 802.11 а/b/g/n/ac/6e/7, dual-band","5.4, A2DP, LE","GPS (L1+L5), GLONASS (G1), BDS (B1I+B1c+B2a), GALILEO (E1+E5a), QZSS (L1+L5), NavIC (L5)",Yes,No,"USB Type-C, OTG","Fingerprint (under display, ultrasonic), accelerometer, gyro, proximity, compass, barometer","5050 mAh, non-removable",,"Black, White, Blue, Green",About 640 EUR,HSDPA 850 / 900 / 1900 / 2100 ,"1, 2, 3, 4, 5, 7, 8, 12, 17, 18, 19, 20, 26, 28, 34, 38, 39, 40, 41",,"HSPA, LTE, 5G",Adreno 750,"Ring-LED flash, panorama, HDR",UFS 4.0,,,"50 MP, f/1.9, 24mm (wide), 1/1.3"", 1.2µm, PDAF, OIS
10 MP, f/2.0, 72mm (periscope telephoto), PDAF, OIS, 3x optical zoom
13 MP, f/2.4, 15mm, 122˚ (ultrawide)",HDR,165.0,74.4,8.0
meizu,meizu_21,GSM / HSPA / LTE / 5G,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,"2023, November 30","Available. Released 2023, November 30",198 g (6.98 oz),"Dual SIM (Nano-SIM, dual stand-by)","IP54, dust and splash resistant","AMOLED, 120Hz, HDR10+, 600 nits (typ), 1100 nits (HBM), 1800 nits (peak)","6.55 inches, 105.3 cm2 (~89.3% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~393 ppi density)","Android 13, Flyme 10.5",Qualcomm SM8650-AB Snapdragon 8 Gen 3 (4 nm),Octa-core (1x3.3 GHz Cortex-X4 & 3x3.2 GHz Cortex-A720 & 2x3.0 GHz Cortex-A720 & 2x2.3 GHz Cortex-A520),No,"256GB 8GB RAM, 256GB 12GB RAM, 512GB 12GB RAM",,"8K, 4K, 1080p; gyro-EIS","32 MP, f/2.4, (wide)",Yes,"Yes, with stereo speakers",No,"Wi-Fi 802.11 а/b/g/n/ac/6e/7, dual-band","5.4, A2DP, LE","GPS (L1+L5), GLONASS (G1), BDS (B1I+B1c+B2a), GALILEO (E1+E5a), QZSS (L1+L5), NavIC (L5)",Yes,No,"USB Type-C, OTG","Fingerprint (under display, ultrasonic), accelerometer, gyro, proximity, compass","4800 mAh, non-removable",,"Black, Purple, Green, White",About 440 EUR,HSDPA 850 / 900 / 1700(AWS) / 2100 ,"1, 3, 4, 5, 7, 8, 18, 19, 26, 28, 34, 38, 39, 40, 41",,"HSPA, LTE, 5G",Adreno 750,"Ring-LED flash, panorama, HDR",UFS 4.0,,,"200 MP, f/1.7, 22mm (wide), PDAF, OIS
13 MP, f/2.4, 15mm, 122˚ (ultrawide)
5 MP, f/2.4, 27mm (wide)",HDR,156.7,75.3,7.9
meizu,meizu_20_pro,GSM / HSPA / LTE / 5G,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,"2023, March 30","Available. Released 2023, June 20",209 g (7.37 oz),"Dual SIM (Nano-SIM, dual stand-by)","IP54, dust and splash resistant","LTPO OLED, 120Hz, HDR10+, 500 nits (typ), 1800 nits (peak)","6.81 inches, 112.0 cm2 (~89.3% screen-to-body ratio)","1440 x 3200 pixels, 20:9 ratio (~515 ppi density)","Android 13, Flyme 10",Qualcomm SM8550-AB Snapdragon 8 Gen 2 (4 nm),Octa-core (1x3.2 GHz Cortex-X3 & 2x2.8 GHz Cortex-A715 & 2x2.8 GHz Cortex-A710 & 3x2.0 GHz Cortex-A510),No,"128GB 12GB RAM, 256GB 12GB RAM, 512GB 12GB RAM",,"8K, 4K, 1080p; gyro-EIS","32 MP, f/2.5, (wide)",Yes,"Yes, with stereo speakers",No,"Wi-Fi 802.11 а/b/g/n/ac/6e/7, tri-band","5.3, A2DP, LE","GPS (L1+L5), GLONASS, BDS (B1I+B1c+B2a), GALILEO, QZSS",Yes,No,USB Type-C,"Fingerprint (under display, ultrasonic), accelerometer, gyro, proximity, compass","Li-Po 5000 mAh, non-removable",,"Gray, Gold, Silver",About 530 EUR,HSDPA 850 / 900 / 1900 / 2100 ,"1, 2, 3, 4, 5, 7, 8, 12, 28, 34, 38, 39, 40, 41",,"HSPA, LTE, 5G",Adreno 740,"Ring-LED flash, panorama, HDR",UFS 4.0 - 512GB,,,"50 MP, f/1.9, (wide), PDAF, OIS
50 MP f/1.9, (telephoto), PDAF, optical zoom
50 MP, f/2.2, 129˚ (ultrawide)",HDR,164.2,76.4,7.8
meizu,meizu_20,GSM / HSPA / LTE / 5G,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,"2023, March 30","Available. Released 2023, May 22",190 g (6.70 oz),"Dual SIM (Nano-SIM, dual stand-by)","IP54, dust and splash resistant","OLED, 1B colors, 144Hz, 500 nits (typ), 800 nits (HBM)","6.55 inches, 103.6 cm2 (~89.2% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~402 ppi density)","Android 13, Flyme 10",Qualcomm SM8550-AB Snapdragon 8 Gen 2 (4 nm),Octa-core (1x3.2 GHz Cortex-X3 & 2x2.8 GHz Cortex-A715 & 2x2.8 GHz Cortex-A710 & 3x2.0 GHz Cortex-A510),No,"128GB 12GB RAM, 256GB 12GB RAM, 512GB 12GB RAM",,"8K, 4K, 1080p; gyro-EIS","32 MP, f/2.5, (wide)",Yes,"Yes, with stereo speakers",No,"Wi-Fi 802.11 а/b/g/n/ac/6e/7, dual-band","5.3, A2DP, LE","GPS (L1+L5), GLONASS, BDS (B1I+B1c+B2a), GALILEO, QZSS",Yes,No,"USB Type-C, OTG","Fingerprint (under display, ultrasonic), accelerometer, gyro, proximity, compass","Li-Po 4700 mAh, non-removable",,"Gray, Yellow, Mint, Rose Gold",About 400 EUR,HSDPA 850 / 900 / 1900 / 2100 ,"1, 2, 3, 4, 5, 7, 8, 12, 28, 34, 38, 39, 40, 41",,"HSPA, LTE, 5G",Adreno 740,"Ring-LED flash, panorama, HDR","UFS 4.0
UFS 3.1 - 128GB only",,,"50 MP, f/1.9, 24mm (wide), 1/1.56"", PDAF, OIS
16 MP, f/2.4, 16mm, 122˚ (ultrawide)
5 MP, f/2.4",HDR,157.9,73.5,8.0
meizu,meizu_20_infinity,GSM / HSPA / LTE / 5G,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,"2023, March 30","Available. Released 2023, June 12",215 g (7.58 oz),"Dual SIM (Nano-SIM, dual stand-by)",,"LTPO OLED, 1B colors, 120Hz, 600 nits (typ), 1800 nits (peak)","6.79 inches, 107.7 cm2 (~89.9% screen-to-body ratio)","1368 x 3192 pixels, 21:9 ratio (~511 ppi density)","Android 13, Flyme 10",Qualcomm SM8550-AB Snapdragon 8 Gen 2 (4 nm),Octa-core (1x3.2 GHz Cortex-X3 & 2x2.8 GHz Cortex-A715 & 2x2.8 GHz Cortex-A710 & 3x2.0 GHz Cortex-A510),No,"256GB 12GB RAM, 512GB 12GB RAM, 1TB 16GB RAM",,"8K, 4K, 1080p; gyro-EIS","32 MP, f/2.4, (wide)",Yes,"Yes, with stereo speakers",No,"Wi-Fi 802.11 а/b/g/n/ac/6e/7, tri-band","5.3, A2DP, LE","GPS (L1+L5), GLONASS, BDS, GALILEO",Yes,No,USB Type-C,"Fingerprint (under display, optical), accelerometer, gyro, proximity, compass, barometer","Li-Po 4800 mAh, non-removable",,"Gray, Green, Silver",About 820 EUR,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 ,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 26, 34, 38, 39, 40, 41, 42",,"HSPA, LTE, 5G",Adreno 740,"LED flash, panorama, HDR",UFS 4.0,,,"50 MP, f/1.8, 23mm (wide), 1/1.56"", PDAF, OIS
12 MP f/2.0, 50mm (telephoto), 1/2.9"", PDAF, OIS, optical zoom
12 MP, f/2.2, 13mm, 122˚ (ultrawide), 1/2.55""",HDR,163.4,73.3,8.2
meizu,meizu_20_classic,GSM / HSPA / LTE / 5G,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,"2023, October 19","Available. Released 2023, October 31",190 g (6.70 oz),"Dual SIM (Nano-SIM, dual stand-by)","IP54, dust and splash resistant","OLED, 1B colors, 144Hz, 500 nits (typ), 800 nits (HBM)","6.55 inches, 103.6 cm2 (~89.2% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~402 ppi density)","Android 13, Flyme 10",Qualcomm SM8550-AB Snapdragon 8 Gen 2 (4 nm),Octa-core (1x3.2 GHz Cortex-X3 & 2x2.8 GHz Cortex-A715 & 2x2.8 GHz Cortex-A710 & 3x2.0 GHz Cortex-A510),No,"256GB 16GB RAM, 512GB 16GB RAM",,"8K, 4K, 1080p; gyro-EIS","32 MP, f/2.5, (wide)",Yes,"Yes, with stereo speakers",No,"Wi-Fi 802.11 а/b/g/n/ac/6e/7, dual-band","5.3, A2DP, LE","GPS (L1+L5), GLONASS, BDS (B1I+B1c+B2a), GALILEO, QZSS",Yes,No,"USB Type-C, OTG","Fingerprint (under display, ultrasonic), accelerometer, gyro, proximity, compass","Li-Po 4700 mAh, non-removable",,"Gray, Silver, Green",About 400 EUR,HSDPA 850 / 900 / 1900 / 2100 ,"1, 2, 3, 4, 5, 7, 8, 20, 28, 34, 38, 39, 40, 41",,"HSPA, LTE, 5G",Adreno 740,"Ring-LED flash, panorama, HDR",UFS 4.0,,,"50 MP, f/1.9, 24mm (wide), 1/1.56"", PDAF, OIS
16 MP, f/2.4, 16mm, 122˚ (ultrawide)
5 MP, f/2.4",HDR,157.9,73.5,8.0
meizu,meizu_18s_pro,GSM / HSPA / LTE / 5G,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,"2021, September 22","Available. Released 2021, September 23",189 g (6.67 oz),"Dual SIM (Nano-SIM, dual stand-by)",Waterproof,"Super AMOLED, 120Hz, HDR10+, 420 nits (typ), 1300 nits (peak)","6.7 inches, 107.6 cm2 (~90.7% screen-to-body ratio)","1440 x 3200 pixels, 20:9 ratio (~526 ppi density)","Android 11, Flyme 9.2",Qualcomm SM8350 Snapdragon 888+ 5G (5 nm),Octa-core (1x3.0 GHz Cortex-X1 & 3x2.42 GHz Cortex-A78 & 4x1.80 GHz Cortex-A55),No,"128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM",,"8K, 4K@30/60fps, 1080p; gyro-EIS, HDR","44 MP, f/2.4, (wide), 1/2.65”, 0.7µm","4K@30fps, 1080p@30fps","Yes, with stereo speakers",No,"Wi-Fi 802.11 а/b/g/n/ac/6e, dual-band, Wi-Fi Direct","5.2, A2DP, LE","GPS (L1+L5), GLONASS, BDS, GALILEO, QZSS",Yes,No,USB Type-C,"Fingerprint (under display, ultrasonic), accelerometer, gyro, proximity, compass","Li-Po 4500 mAh, non-removable",,"Blue, White, Gray",About 610 EUR,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 ,"1, 2, 3, 4, 5, 7, 8, 12, 34, 38, 39, 40, 41",,"HSPA, LTE, 5G",Adreno 660,"LED flash, HDR, panorama",UFS 3.1,M192Q,,"50 MP, f/1.9, 23mm (wide), 1/1.31"", 1.2µm, dual pixel PDAF, OIS
8 MP f/2.4, 79mm (telephoto), 1/4.4"", 1.0µm, PDAF, 3x optical zoom
32 MP, f/2.2, 15mm, 130˚ (ultrawide), 1/2.8"", 0.8µm
0.3 MP, TOF 3D, f/1.4, (depth)",HDR,162.5,73.0,8.1
