manufacturer,device,has_jack,has_loudspeaker,has_stereo,has_dual,average_dollar_price,Launch_year,IsAvailable,Battery_Capacity,Battery_Removability,Body_length_mm,Body_width_mm,Body_Weight_g,num_slots_sim,has_mini_sim,has_nano_sim,has_micro_sim,has_e_sim,stand-by_sim,hybrid_sim,display_tech,display_refresh,display_diagonal_inches,display_area_cm2,display_screen_body_ratio,display_width_px,display_height_px,display_density,platform_os,platform_cpu_count,platform_cpu_speed_ghz,memory_internal_storage,memory_ram,main_camera_single_mp
verykool,verykool_sl6010_cyprus_lte,1,1,0,0,203.3,2016,1,2500,0,167.3,84,207,2,0,0,1,0,1,1,ips lcd,60,6,99,70.6,720,1280,245,android,4,1,16,1,13
verykool,verykool_sl5011_spark_lte,1,1,0,0,171.2,2016,1,2200,0,143,71.1,153,1,0,0,1,0,0,0,ips lcd,60,5,68.9,67.8,720,1280,294,android,4,1,16,1,13
vivo,vivo_y18,1,1,0,0,107,2024,1,5000,0,163.6,75.6,185,2,0,1,0,0,1,0,ips lcd,90,6.56,103.4,83.6,720,1612,269,android,8,1.8,128,4,0.08
vivo,vivo_y03,0,1,0,0,85.6,2024,1,5000,0,163.8,75.7,185,2,0,1,0,0,1,0,ips lcd,90,6.56,103.4,83.4,720,1612,269,android,8,1.8,128,4,0.08
vodafone,vodafone_smart_n10,1,1,0,0,160.5,2019,1,2920,0,148.8,69.9,160,0,0,1,0,0,0,0,ips lcd,60,5.67,80.9,77.8,720,1500,293,android,4,2,16,2,13
vodafone,vodafone_smart_n9,1,1,0,0,128.4,2018,1,2900,0,147.1,68.8,145,0,0,1,0,0,0,0,ips lcd,60,5.5,78.1,77.1,720,1440,293,android,4,1.3,16,2,13
vodafone,vodafone_smart_n9_lite,1,1,0,0,107,2018,1,2460,2,148.2,68.9,155,0,0,1,0,0,0,0,ips lcd,60,5.34,73.6,72.1,480,960,201,android,4,1.3,16,1,8
vodafone,vodafone_smart_ultra_6,1,1,0,0,181.9,2015,1,3000,0,154,77,159,0,0,1,0,0,0,0,ips lcd,60,5.5,83.4,70.3,1080,1920,401,android,8,1.1,16,2,13
vodafone,vodafone_smart_e9,1,1,0,0,74.9,2018,1,2000,0,137.6,65.7,134,1,0,1,0,0,0,0,ips lcd,60,5,64.5,71.4,480,960,215,android,4,1.5,8,1,5
vodafone,vodafone_smart_x9,1,1,0,0,117.7,2018,1,3100,0,148.2,71.3,153,0,0,1,0,0,0,0,ips lcd,60,5.7,82.7,78.2,1080,2160,427,android,8,1.8,32,3,5
vodafone,vodafone_smart_v8,1,1,0,0,246.1,2017,1,3000,0,155,76,166,0,0,1,0,0,0,0,ips lcd,60,5.5,83.4,70.8,1080,1920,401,android,8,1.4,32,3,16
vodafone,vodafone_smart_tab_n8,1,1,0,0,192.6,2017,1,4600,0,260,155,465,0,0,0,1,0,0,0,ips lcd,60,10.1,95.8,73.4,800,1280,149,android,4,1.1,16,2,5
vodafone,vodafone_smart_ultra_7,1,1,0,0,171.2,2016,1,2960,0,152.2,78.1,150,0,0,0,1,0,0,0,ips lcd,60,5.5,83.4,70.2,1080,1920,401,android,8,1,16,2,13
vodafone,vodafone_smart_prime_6,1,1,0,0,117.7,2015,1,2500,0,141.7,71.9,155,0,0,0,1,0,0,0,ips lcd,60,5,68.9,67.6,720,1280,294,android,4,1.2,8,1,8
vodafone,vodafone_smart_prime_7,1,1,0,0,107,2016,1,2540,0,144,72.1,128,0,0,0,1,0,0,0,ips lcd,60,5,69.4,66.8,720,1280,293,android,4,1.1,8,1,8
vodafone,vodafone_smart_e8,1,1,0,0,85.6,2017,1,2200,1,145.6,72.1,169,0,0,1,0,0,0,0,ips lcd,60,5,68.9,65.6,480,854,196,android,4,1.1,8,1,5
vodafone,vodafone_smart_n8,1,1,0,1,107,2017,1,2400,0,144.5,71.9,151,0,0,1,0,0,0,0,ips lcd,60,5,68.9,66.3,720,1280,294,android,4,1.3,16,1.5,13
vodafone,vodafone_smart_speed_6,1,1,0,0,74.9,2015,1,1780,0,132.2,65.1,146,0,0,0,1,0,0,0,ips lcd,60,4.5,55.8,64.8,480,854,218,android,4,1,8,1,5
vodafone,vodafone_smart_turbo_7,1,1,0,0,64.2,2016,1,2000,0,140.6,72.4,167.9,0,0,0,1,0,0,0,tft,60,5,68.9,67.7,480,854,196,android,4,1,8,1,5
vodafone,vodafone_smart_4_mini,1,1,0,0,53.5,2014,1,1400,1,121.6,64.4,117,0,1,0,0,0,0,0,tft,60,4,45.5,58.2,480,800,233,android,2,1.3,4,0.512,3.15
vodafone,vodafone_smart_platinum_7,1,1,1,0,406.6,2016,1,3000,0,154,75.7,155,0,0,1,0,0,0,0,amoled,60,5.5,83.4,71.5,1440,2560,534,android,8,1.2,32,3,16
vodafone,vodafone_tab_prime_7,1,1,0,0,203.3,2016,1,5830,0,259.2,155.8,439,0,0,0,1,0,0,0,ips lcd,60,10.1,95.8,73.2,1200,1920,224,android,8,1.4,16,2,5
vodafone,vodafone_smart_tab_7,1,1,1,0,246.1,2012,1,3400,0,194,120,319,0,1,0,0,0,0,0,tft,60,7,142.1,61,800,1280,216,android,2,1.2,0,0,5
