manufacturer,device,Network_Technology,Misc_Price,Platform_GPU,Launch_year,IsAvailable,Battery_Capacity,Battery_Removability,Body_length_mm,Body_width_mm,Body_Weight_g,num_slots_sim,has_mini_sim,has_nano_sim,has_micro_sim,has_e_sim,stand-by_sim,hybrid_sim,display_tech,display_refresh,display_diagonal_inches,display_area_cm2,display_screen_body_ratio,display_width_px,display_height_px,display_density,platform_os,platform_chipset_manufacturer,platform_cpu_count,platform_cpu_speed_ghz,memory_card_slot,memory_internal_storage,memory_ram,main_camera_single_mp
micromax,micromax_canvas_2_q4310,GSM / HSPA / LTE,About 12000 INR,Mali-T720,2017,1,3050,0,144.2,70.8,160,2,0,0,1,0,1,0,ips lcd,60,5,68.9,67.5,720,1280,294,android,mediatek,4,1.3,microsdxc,16,3,13
micromax,micromax_bharat_2_q402,GSM / HSPA / LTE,About 50 EUR,,2017,1,1300,0,125,63.4,120,2,0,0,1,0,1,0,tft,60,4,45.5,57.5,480,800,233,android,spreadtrum,4,1.1,microsdhc,4,0.512,2
micromax,micromax_a102_canvas_doodle_3,GSM / HSPA,About 100 EUR,Mali-400,2014,1,2500,1,166.4,84.5,202,2,0,0,0,0,0,0,tft,60,6,99,70.6,480,854,163,android,mediatek,2,1.3,microsdhc,8,1,5
micromax,micromax_bharat_5_pro,GSM / HSPA / LTE,About 8000 INR,Mali-T720,2018,1,5000,0,149.5,73.5,170,2,0,1,1,0,1,1,ips lcd,60,5.2,74.5,67.8,720,1280,282,android,mediatek,4,1.3,microsdxc,32,3,13
micromax,micromax_a106_unite_2,GSM / HSPA,About 90 EUR,Mali-400MP2,2014,1,2000,1,138.9,71.9,158,2,0,0,0,0,0,0,ips lcd,60,4.7,62.9,63,480,800,199,android,mediatek,4,1.3,microsdhc,8,1,5
micromax,micromax_a110_canvas_2,GSM / HSPA,About 160 EUR,PowerVR SGX531,2012,1,2000,1,147,76.5,168,2,1,0,0,0,0,0,ips lcd,60,5,68.9,61.3,480,854,196,android,mediatek,2,1,microsdhc,0,0.512,8
micromax,micromax_bharat_4_q440,GSM / HSPA / LTE,About 5000 INR,Mali-T720,2017,1,2500,0,144.5,73,150,2,0,0,1,0,1,0,ips lcd,60,5,68.9,65.3,720,1280,294,android,mediatek,4,1.3,microsdhc,16,3,5
micromax,micromax_bharat_5_plus,GSM / HSPA / LTE,About 7200 INR,Mali-T720,2018,1,5000,0,149.5,73.5,170,2,0,1,1,0,1,1,ips lcd,60,5.2,74.5,67.8,720,1280,282,android,mediatek,4,1.3,microsdxc,16,2,8
micromax,micromax_dual_4_e4816,GSM / HSPA / LTE,About 19000 INR,Adreno 505,2017,1,2730,0,143.5,70,141,2,0,0,1,0,1,1,ips lcd,60,5.2,74.5,74.2,1080,1920,424,android,qualcomm,8,1.4,microsdxc,64,4,2
micromax,micromax_canvas_6,GSM / HSPA / LTE,About 90 EUR,PowerVR G6200,2016,1,3000,0,150,77,162,2,0,1,1,0,1,1,ips lcd,60,5.5,83.4,72.2,1080,1920,401,android,mediatek,8,2,microsdxc,32,3,13
micromax,micromax_canvas_1,GSM / HSPA / LTE,About 7000 INR,Mali-T720,2017,1,2500,1,143,71,150,2,0,0,0,0,0,0,ips lcd,60,5,68.9,67.9,720,1280,294,android,mediatek,4,1.3,microsdxc,16,2,8
micromax,micromax_bharat_5,GSM / HSPA / LTE,About 5700 INR,Mali-T720,2017,1,5000,0,149.5,73.5,170,2,0,1,1,0,1,1,ips lcd,60,5.2,74.5,67.8,720,1280,282,android,mediatek,4,1.3,microsdxc,16,1,5
micromax,micromax_a111_canvas_doodle,GSM / HSPA,About 190 EUR,Adreno 203,2013,1,2100,1,147,76.5,168,2,1,0,0,0,0,0,tft,60,5.3,77.4,68.8,480,854,185,android,qualcomm,4,1.2,microsdhc,0,0.512,8
micromax,micromax_canvas_xpress_2_e313,GSM / HSPA,About 90 EUR,Mali-450MP4,2015,1,2500,1,140.5,69.8,135,2,0,0,0,0,0,0,ips lcd,60,5,68.9,70.3,720,1280,294,android,mediatek,8,1.4,microsdhc,8,1,13
micromax,micromax_canvas_spark_3_q385,GSM / HSPA,About 70 EUR,,2016,1,2500,0,153.8,77.5,175,2,0,0,1,0,1,0,ips lcd,60,5.5,83.4,70,720,1280,267,android,spreadtrum,4,1.3,microsdhc,8,1,8
micromax,micromax_a116_canvas_hd,GSM / HSPA,About 230 EUR,PowerVR SGX544,2013,1,2000,1,144,74,156,2,0,0,0,0,0,0,ips lcd,60,5,68.9,64.7,720,1280,294,android,mediatek,4,1.2,microsdhc,0,1,8
micromax,micromax_canvas_5_e481,GSM / HSPA / LTE,About 170 EUR,Mali-T720MP3,2015,1,2900,0,148,73.6,143,2,0,0,1,0,1,0,ips lcd,60,5.2,74.9,68.8,1080,1920,423,android,mediatek,8,1.3,microsdxc,16,3,13
micromax,micromax_bharat_go,GSM / HSPA / LTE,About 4400 INR,Mali-T720MP1,2018,1,2000,1,136.5,67,130,2,0,0,1,0,1,0,tft lcd,60,4.5,61.9,67.7,480,854,207,android,mediatek,4,1.1,microsdhc,8,1,5
micromax,micromax_bharat_3_q437,GSM / HSPA / LTE,About 4500 INR,Mali-T720,2017,1,2000,1,136.5,67,130,2,0,0,1,0,1,0,tft,60,4.5,55.8,61,480,854,218,android,mediatek,4,1.3,microsdhc,8,1,5
micromax,micromax_bharat_2_ultra,GSM / HSPA / LTE,About 2900 INR,,2017,1,1300,0,125,63.4,120,2,0,0,1,0,1,0,tft,60,4,45.5,57.5,480,800,233,android,spreadtrum,4,1.3,microsdhc,4,0.512,2
micromax,micromax_canvas_juice_2_aq5001,GSM / HSPA,About 130 EUR,Mali-400MP2,2015,1,3000,0,144,72.7,170,2,0,0,1,0,1,0,ips lcd,60,5,68.9,65.8,720,1280,294,android,mediatek,4,1.3,microsdhc,8,2,8
micromax,micromax_selfie_2_q4311,GSM / HSPA / LTE,About 10000 INR,Mali-T720,2017,1,3000,0,144,72,157,2,0,0,0,0,0,0,ips lcd,60,5.2,74.5,71.9,720,1280,282,android,mediatek,4,1.3,microsdhc,32,3,13
microsoft,microsoft_lumia_650,GSM / HSPA / LTE,About 150 EUR,Adreno 304,2016,1,2000,1,142,70.9,122,1,0,1,0,0,0,0,oled,60,5,67.5,67.1,720,1280,297,microsoft,qualcomm,4,1.3,microsdxc,16,1,8
microsoft,microsoft_lumia_950_xl,GSM / HSPA / LTE,About 350 EUR,Adreno 430,2015,1,3340,1,151.9,78.4,165,0,0,1,0,0,0,0,amoled,60,5.7,88.5,74.3,1440,2560,518,microsoft,qualcomm,8,2,microsdxc,32,3,20
microsoft,microsoft_lumia_950,GSM / HSPA / LTE,About 280 EUR,Adreno 418,2015,1,3000,1,145,73.2,150,0,0,1,0,0,0,0,amoled,60,5.2,74.8,70.5,1440,2560,564,microsoft,qualcomm,6,1.8,microsdxc,32,3,20
microsoft,microsoft_lumia_640_lte,GSM / HSPA / LTE,About 120 EUR,Adreno 305,2015,1,2500,1,141.3,72.2,145,0,0,0,1,0,0,0,ips lcd,60,5,68.9,67.6,720,1280,294,microsoft,qualcomm,4,1.2,microsdxc,8,1,8
microsoft,microsoft_lumia_535,GSM / HSPA,About 80 EUR,Adreno 302,2014,1,1905,1,140.2,72.4,146,0,0,0,1,0,0,0,ips lcd,60,5,68.9,67.9,540,960,220,microsoft,qualcomm,4,1.2,microsdxc,8,1,5
microsoft,microsoft_lumia_950_xl_dual_sim,GSM / HSPA / LTE,About 350 EUR,Adreno 430,2015,1,3340,1,151.9,78.4,165,2,0,1,0,0,1,0,amoled,60,5.7,89.6,75.2,1440,2560,515,microsoft,qualcomm,8,2,microsdxc,32,3,20
microsoft,microsoft_lumia_640_xl,GSM / HSPA,About 170 EUR,Adreno 305,2015,1,3000,1,157.9,81.5,171,0,0,0,1,0,0,0,ips lcd,60,5.7,88.9,69.1,720,1280,259,microsoft,qualcomm,4,1.2,microsdxc,8,1,13
microsoft,microsoft_lumia_540_dual_sim,GSM / HSPA,About 100 EUR,Adreno 302,2015,1,2200,1,144,73.7,152,2,0,0,1,0,1,0,ips lcd,60,5,68.9,64.9,720,1280,294,microsoft,qualcomm,4,1.2,microsdxc,8,1,8
microsoft,microsoft_lumia_535_dual_sim,GSM / HSPA,About 80 EUR,Adreno 302,2014,1,1905,1,140.2,72.4,146,2,0,0,1,0,1,0,ips lcd,60,5,68.9,67.9,540,960,220,microsoft,qualcomm,4,1.2,microsdxc,8,1,5
microsoft,microsoft_lumia_435,GSM / HSPA,About 70 EUR,Adreno 302,2015,1,1560,1,118.1,64.7,134.1,0,0,0,1,0,0,0,ips lcd,60,4,45.5,59.6,480,800,233,microsoft,qualcomm,2,1.2,microsdxc,8,1,2
microsoft,microsoft_lumia_430_dual_sim,GSM / HSPA,About 70 EUR,Adreno 302,2015,1,1500,1,120.5,63.2,127.9,2,0,0,1,0,1,0,ips lcd,60,4,44.8,58.8,480,800,235,microsoft,qualcomm,2,1.2,microsdxc,8,1,2
microsoft,microsoft_lumia_950_dual_sim,GSM / HSPA / LTE,About 280 EUR,Adreno 418,2015,1,3000,1,145,73.2,150,2,0,1,0,0,1,0,amoled,60,5.2,74.5,70.2,1440,2560,565,microsoft,qualcomm,6,1.8,microsdxc,32,3,20
microsoft,microsoft_lumia_640_xl_lte,GSM / HSPA / LTE,About 200 EUR,Adreno 305,2015,1,3000,1,157.9,81.5,171,0,0,0,1,0,0,0,ips lcd,60,5.7,88.9,69.1,720,1280,259,microsoft,qualcomm,4,1.2,microsdxc,8,1,13
microsoft,microsoft_lumia_640_dual_sim,GSM / HSPA,About 170 EUR,Adreno 305,2015,1,2500,1,141.3,72.2,145,2,0,0,1,0,1,0,ips lcd,60,5,68.9,67.6,720,1280,294,microsoft,qualcomm,4,1.2,microsdxc,8,1,8
microsoft,microsoft_lumia_640_lte_dual_sim,GSM / HSPA / LTE,About 150 EUR,Adreno 305,2015,1,2500,1,141.3,72.2,145,2,0,0,1,0,1,0,ips lcd,60,5,68.9,67.6,720,1280,294,microsoft,qualcomm,4,1.2,microsdxc,8,1,8
microsoft,microsoft_lumia_532_dual_sim,GSM / HSPA,About 90 EUR,Adreno 302,2015,1,1560,1,118.9,65.5,136.3,2,0,0,1,0,1,0,ips lcd,60,4,45.5,58.5,480,800,233,microsoft,qualcomm,4,1.2,microsdxc,8,1,5
